City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
185,Gari,RU,59.4307,62.3497,5.05,97,94,5.06,overcast clouds
186,Bengkulu,ID,-3.8004,102.2655,75.7,82,97,4.72,overcast clouds
187,Sampit,ID,-2.5333,112.95,74.66,90,99,2.44,overcast clouds
188,Caravelas,BR,-17.7125,-39.2481,75.13,90,100,4.79,overcast clouds
189,Smithers,CA,54.7804,-127.1743,37.72,65,75,4.61,broken clouds
190,Ust-Tsilma,RU,65.441,52.1498,11.23,96,98,4.65,overcast clouds
191,Batagay,RU,67.6333,134.6333,-24.12,93,85,3.22,overcast clouds
192,Bambanglipuro,ID,-7.95,110.2833,63.61,86,100,5.19,overcast clouds
193,Cody,US,44.5263,-109.0565,39.42,28,0,6.91,clear sky
194,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,12.66,scattered clouds
195,San Policarpo,PH,12.1791,125.5072,78.6,84,96,16.28,overcast clouds
196,North Bend,US,43.4065,-124.2243,68.23,70,0,5.75,clear sky
197,Cayenne,GF,4.9333,-52.3333,77.09,87,100,2.3,overcast clouds
198,Adelanto,US,34.5828,-117.4092,80.06,7,2,10.09,clear sky
199,Begowal,IN,31.6167,75.5167,48.18,79,0,0.45,clear sky
200,Jumla,NP,29.2747,82.1838,25.41,70,1,7.02,clear sky
201,Damaturu,NG,11.747,11.9608,66.87,15,70,9.08,broken clouds
202,San Clemente,US,33.427,-117.612,91.65,26,8,3.89,clear sky
203,Leningradskiy,RU,69.3833,178.4167,-18.11,95,95,4.45,overcast clouds
204,Lagoa,PT,39.05,-27.9833,60.62,90,100,21.85,overcast clouds
205,Porto Novo,BJ,6.4965,2.6036,82.22,83,45,7.11,scattered clouds
206,Karratha,AU,-20.7377,116.8463,87.75,59,40,13.94,scattered clouds
207,Mbanza-Ngungu,CD,-5.25,14.8667,69.94,80,97,4.05,overcast clouds
208,Ginir,ET,7.1333,40.7,58.48,44,60,3.18,broken clouds
209,Thompson,CA,55.7435,-97.8558,-7.44,54,0,6.91,clear sky
210,Kharabali,RU,47.4196,47.2568,38.3,97,100,15.14,overcast clouds
